"","maxterms","eps","degree","sum_rsstesthat"
"20",3,0.005,28,3.51830787787787
"8",3,1e-04,44,3.63263851593841
"28",3,0.01,44,3.6522323890165
"6",3,0.005,56,3.72374629199362
"5",3,0.1,11,3.7645216135804
"33",5,1e-04,84,6.24127698700509
"17",5,5e-05,11,6.94527071831646
"14",5,1e-04,67,7.05520180898796
"21",5,0.2,44,7.11897678982246
"7",5,5e-05,5,7.18915234638266
"11",5,1,5,7.65699544948453
"29",5,0.005,5,7.90892465489448
"4",5,1e-04,56,8.24563085410863
"27",7,1,5,11.3058502787852
"2",7,0.01,11,12.567015530429
"13",7,1,44,12.7619989245143
"23",7,0.005,28,13.4259033476693
"26",7,5e-06,44,14.2692730150141
"18",7,5e-05,11,15.0651850243002
"19",11,0.2,11,17.4366242554645
"10",11,1,5,17.6839189314548
"16",7,0.1,56,18.909561081865
"32",11,0.005,11,21.9094256513311
"15",15,1e-04,28,27.2766172872307
"25",11,1,28,29.0724378302742
"3",7,0.2,11,33.5630486123976
"31",21,0.5,56,40.3393272301501
"1",51,5e-06,5,89.3223457016219
"9",51,1e-04,56,92.1231776283527
"30",51,5e-06,84,105.361413983374
"34",51,5e-05,11,265.596777311315
"22",21,0.5,5,639.764358657964
"12",21,0.01,44,16782.2692452958
"24",5,1e-04,11,NA
