"","num_trees","mtry","min_node_size","mean_Z_cv_error"
"1",1000,56,93,19.2040817578106
"7",500,56,5,20.2281441216985
"49",5000,28,4,21.8899067557537
"41",1e+05,28,5,22.5978784324685
"21",500,56,10,22.8872171323504
"47",10000,56,4,22.89299246362
"48",50000,56,10,22.9465626146815
"27",5000,28,5,23.1667466670143
"23",1e+05,56,4,23.2777213957553
"13",1000,56,10,23.3985363861001
"2",1000,56,25,23.4591832995972
"25",1000,28,10,23.5621416262911
"19",50000,56,5,23.6926636782035
"34",1e+05,56,4,24.2027438685943
"26",50000,28,25,24.2315517120075
"40",1000,28,25,24.2821963285128
"14",50000,56,93,24.5560467076933
"44",500,28,10,24.7261542538262
"36",10000,28,5,24.7485497847264
"35",50000,56,5,24.8094847825612
"20",1e+05,28,25,24.8226783687141
"28",1000,56,93,24.8352031794326
"45",50000,56,4,25.021843798263
"10",10000,28,25,25.8570359497865
"39",10000,56,93,25.9182301334494
"11",1e+05,56,5,26.2252398304895
"5",1e+05,28,5,26.6083252470153
"15",1e+05,28,25,26.6196533219133
"9",1e+05,28,5,26.8445963937464
"42",500,56,93,26.869928621603
"29",1000,28,10,27.4188229300509
"37",500,28,10,27.5202246909578
"50",1e+05,28,5,27.6736676331408
"3",1e+05,56,93,27.7258939087944
"22",1000,56,25,27.8881332642057
"33",1e+05,28,93,27.9490807620168
"46",50000,28,10,28.1858640780861
"24",500,56,10,28.2541772428201
"30",1000,56,25,28.4060990527704
"31",1e+05,28,25,28.8840897955463
"32",1000,56,25,28.9818350243931
"43",500,28,93,29.2343854295669
"12",1e+05,56,93,29.3209713946572
"18",5000,28,10,29.3465774929452
"17",5000,28,25,29.437873887128
"8",10000,28,25,30.2913524240249
"16",5000,56,25,31.386734457429
"38",50000,56,10,31.5649846152574
"4",1000,56,10,31.7815331891808
"6",50000,28,10,32.4923010403965
