"","num_trees","mtry","min_node_size","mean_Z_cv_error"
"9",50000,56,10,160.479501016999
"22",5000,28,93,168.419262242077
"27",5000,28,5,172.176768381819
"11",10000,56,25,175.268450375037
"45",1000,56,4,179.585591423897
"5",1e+05,56,4,183.501634243071
"1",10000,56,25,184.064964781603
"21",1e+05,56,10,185.340035711786
"28",1e+05,56,4,191.627033869544
"41",1e+05,28,93,193.283163327982
"32",10000,28,5,195.055206497635
"19",50000,56,25,197.590453535781
"6",1e+05,28,5,199.667607660492
"23",1000,56,4,202.175918411217
"10",50000,28,25,202.190666332524
"17",1000,28,93,204.208456982718
"37",5000,56,93,208.03050842925
"25",1000,28,10,209.962439622101
"16",500,56,25,210.216237494782
"34",1000,56,10,211.375256159631
"47",5000,56,25,211.545844454262
"14",5000,28,5,213.090144708678
"33",5000,56,4,219.469870778311
"30",5000,28,25,220.697260151216
"4",1000,28,5,222.325451744625
"24",1e+05,28,4,222.643853119868
"18",5000,56,10,228.579085304906
"39",1000,28,4,228.80211552326
"49",500,28,25,231.734286671075
"15",50000,56,4,231.954424343708
"7",500,28,25,233.134722189478
"31",500,28,10,233.433760448654
"12",50000,56,25,234.456297360753
"38",5000,56,5,236.170425888237
"42",50000,28,4,236.381855983681
"46",500,56,5,236.584649413021
"50",10000,28,4,237.683602101933
"20",10000,28,5,238.000806766172
"13",500,28,10,238.802505946789
"36",1e+05,28,4,239.78999943325
"26",1e+05,56,4,241.585997368177
"2",1000,56,5,242.13157042461
"44",1e+05,56,93,244.538073402904
"8",500,28,10,247.941961273749
"40",5000,28,4,260.594338052088
"3",50000,28,25,264.874328001698
"48",50000,28,4,274.689854373491
"29",5000,28,93,277.335704004829
"35",1000,28,10,285.579757922924
"43",50000,28,93,289.140085284729
