"num_trees","mtry","min_node_size","mean_Z_cv_error"
500,56,93,2650.336073945
1000,56,5,2700.49545169017
5000,56,10,2723.52690061609
1000,56,4,2841.56517160283
500,28,25,2845.31144259925
50000,56,93,2845.5613159812
50000,28,93,2846.27562972609
50000,28,5,2882.36827666173
1000,56,25,2901.82072860191
50000,28,5,2904.65941980292
500,56,4,2935.30961672996
50000,56,25,2954.01596884014
50000,56,5,3004.13432276459
5000,28,5,3036.5776425539
5000,28,10,3055.80660682996
1000,56,93,3099.77376744155
500,28,10,3143.03639420093
500,28,5,3172.44169665076
1e+05,56,4,3185.7747842609
50000,56,5,3192.42522842526
10000,56,93,3205.0596252932
1e+05,56,10,3218.65156082586
1000,28,93,3219.89318268563
5000,28,10,3230.20783407535
5000,56,5,3242.87529018039
1e+05,28,5,3253.46142105358
1e+05,56,10,3262.84647416319
10000,56,10,3264.71669997727
10000,28,4,3266.24177091363
500,28,5,3267.53277232266
1e+05,56,4,3382.7546878025
10000,28,5,3394.19689803489
50000,28,93,3397.49911597474
5000,56,25,3404.90418652699
10000,56,10,3419.1181004509
50000,56,5,3422.17576688109
5000,56,4,3460.29905899081
1000,56,10,3476.99877253517
1e+05,28,10,3483.68064059529
1000,56,5,3508.23465627867
1000,56,10,3509.54926666524
1e+05,56,25,3536.72215999411
50000,28,5,3608.45333488592
1e+05,56,5,3696.81851857844
50000,56,93,3707.77906750515
1e+05,56,5,3728.50703166465
50000,28,5,3767.48845903726
1e+05,28,4,3839.20774376737
1e+05,28,93,4061.13236267061
1000,56,10,4438.4376008926
