"","num_trees","mtry","min_node_size","mean_Z_cv_error"
"11",5000,26,5,11626.0684888385
"35",500,26,10,11638.7646980616
"3",1000,26,93,12044.4649794939
"6",500,26,10,12772.1468712449
"13",1000,32,4,15382.4147277408
"50",1000,32,5,15443.3767379429
"23",50000,26,4,15868.5599541673
"34",500,26,10,16024.6150501361
"26",1000,32,25,16026.2181271796
"25",10000,32,25,16074.2268465983
"47",5000,32,93,16388.0095200879
"15",50000,26,25,17418.7097737609
"21",1e+05,26,93,17495.5386884175
"39",1e+05,26,5,18066.3872305388
"4",50000,26,93,18395.1069267186
"9",50000,26,93,18601.4534500557
"1",5000,32,10,18664.4958235628
"31",10000,32,10,19017.7161545079
"17",10000,32,93,19117.0151221521
"48",1e+05,26,4,19146.9620259402
"49",500,32,93,19217.440877085
"45",1e+05,26,5,19316.9034298114
"8",50000,26,25,19408.6568590701
"27",1e+05,26,10,19422.9501993885
"18",50000,26,4,19991.073445574
"28",5000,32,4,20538.7574181824
"2",500,26,5,20604.8502352511
"46",5000,26,93,21428.335424104
"30",10000,26,5,21776.4993319526
"10",10000,32,4,21815.2376124029
"33",5000,26,93,21837.3511591834
"20",10000,32,4,21943.6110202654
"36",5000,26,93,22115.6118784255
"16",10000,32,10,22529.5728598491
"44",1000,32,93,22647.5015810837
"5",10000,32,10,23065.8975322992
"24",50000,26,10,23593.7982023255
"29",5000,26,93,24323.3491316324
"14",10000,26,93,24438.2723706726
"12",50000,32,5,25074.5221163328
"32",1e+05,26,25,25108.5648561139
"7",5000,26,5,25376.8812101568
"41",1000,32,10,25602.4444152296
"22",1000,26,10,25801.9672797914
"40",50000,26,10,25878.1628401921
"19",1e+05,32,93,26098.5456604948
"43",10000,32,4,26396.6286386972
"42",500,26,93,26754.7774814558
"37",500,32,10,27107.4519575083
"38",50000,32,4,29432.9084407463
