"maxterms","eps","degree","sum_rsstesthat"
3,0.01,38,0.951654223858251
3,1,6,1.32460768213352
3,5e-05,6,1.58560026011978
3,1,3,1.5932451568246
3,0.1,25,1.76937149583463
3,0.2,3,1.871528336482
5,0.005,25,3.0585860828788
7,0.5,25,3.20501490569173
5,1e-04,3,3.8701182606119
5,1,48,3.93747353669189
7,0.01,3,3.95427833132503
5,0.5,25,4.13580319883353
7,0.5,48,4.96093800677221
7,0.2,25,5.70456319962964
7,0.1,38,5.77651896936466
7,0.1,25,6.58108740131224
11,1e-04,3,9.403476103271
21,0.005,38,17.2426727609877
15,0.01,3,25.1175584711915
21,1,32,25.2159683676253
51,0.005,25,26.8295953274717
51,5e-06,32,30.2515174965856
21,0.2,3,34.0028218633678
51,1e-04,16,34.0828720921708
65,5e-05,25,41.7082754785016
65,1e-04,25,53.6229197863368
101,5e-06,6,64.3406586685557
101,5e-05,25,123.334392441546
