"","num_trees","mtry","min_node_size","mean_Z_cv_error"
"46",1000,60,93,242.856789265655
"43",1000,28,25,277.516946577987
"19",1000,28,10,281.65522801394
"9",500,28,4,284.793263925699
"41",10000,60,25,286.426540174248
"29",1e+05,28,5,286.48471554972
"28",1e+05,28,25,287.717704585853
"18",50000,60,10,287.74641954234
"5",1000,28,5,288.095886502742
"16",5000,28,4,290.042204765799
"37",500,60,4,298.174196562527
"20",1000,28,93,298.250041720531
"15",10000,28,4,306.761064029413
"1",1000,28,93,308.1786225439
"48",500,28,93,310.245943422558
"6",10000,28,93,310.371579873113
"4",10000,28,93,319.672761046995
"7",50000,28,4,321.467082142905
"45",10000,60,93,324.967077089573
"25",500,60,93,327.639177991788
"12",5000,28,10,333.288172534815
"50",1e+05,60,10,336.265985100392
"47",500,60,4,339.125973166131
"49",10000,60,5,343.66471522964
"35",500,60,4,347.56823318395
"30",10000,60,25,348.498112653651
"38",1e+05,60,93,355.817925785628
"23",10000,60,93,356.396678949775
"32",5000,60,25,359.992241088399
"34",5000,60,4,363.695953191641
"11",50000,60,5,367.935467437853
"27",500,28,10,369.45142157833
"26",10000,28,4,369.924392667621
"44",50000,60,10,370.634824269248
"24",5000,60,93,371.240241115977
"40",50000,60,93,374.338820484972
"42",10000,28,4,377.501362192599
"33",10000,28,25,377.684316993122
"21",1e+05,60,25,394.306610302975
"39",10000,28,4,423.468989762451
"36",1000,28,4,427.834454546414
"10",1000,60,93,432.505440955572
"31",500,60,5,437.308755657399
"22",10000,60,4,437.504009888987
"2",1000,28,10,438.113286741169
"14",5000,60,10,440.418033115077
"17",1000,60,10,442.653531826999
"3",500,60,93,444.84305016963
"8",1e+05,60,10,451.421348403247
"13",5000,28,93,468.947167547036
