"","maxterms","eps","degree","sum_rsstesthat"
"14",3,5e-06,72,94.3841607777006
"8",3,1e-04,6,106.870064818992
"5",3,0.1,60,108.566694730014
"15",3,0.1,90,120.510456780617
"16",3,5e-06,90,248.854598977299
"10",3,0.5,90,292.365548728234
"21",3,1e-04,6,318.412174920622
"17",5,5e-05,90,352.040470786125
"11",5,5e-06,90,389.252538608986
"7",5,1,90,407.480206435882
"2",5,0.1,30,441.909863186948
"1",7,0.5,6,548.909615983269
"20",7,0.01,12,692.69921089247
"12",5,1,6,720.463281232252
"19",5,1,12,786.462452813001
"22",5,1,60,839.624142866793
"18",5,0.005,60,1846.17393016641
"9",7,0.5,60,2029.18717946135
"3",11,1,12,3222.35991904976
"13",15,5e-06,72,3517.84016826226
"4",11,0.005,90,4116.15731664517
"6",11,0.1,48,3206715.60323434
