"num_trees","mtry","min_node_size","mean_Z_cv_error"
10000,26,5,13782.7935062669
5000,26,10,14355.6044990358
50000,26,10,14445.9512637847
500,26,25,14461.3583038931
1000,26,4,15525.3019548813
500,31,25,15526.9407616151
1e+05,26,5,15589.7778469856
500,26,10,15805.1704568404
1000,26,25,15900.3819536971
50000,31,4,15961.774012747
50000,26,5,16026.837923864
5000,26,10,16187.0952627439
50000,26,93,16238.4796387324
5000,31,25,16286.2182479544
10000,31,5,16289.2358214097
10000,31,5,16298.6485032871
1e+05,31,93,16331.4660066154
1e+05,31,25,16357.494846516
1e+05,26,93,16374.2557626481
50000,26,4,16504.6813699609
1e+05,26,93,16509.8975447359
10000,31,10,16585.663175322
500,26,10,16654.5243339307
5000,26,25,16794.8701186858
50000,31,25,17003.2502251867
50000,26,10,17036.7436434915
500,31,25,17138.6197740756
1000,31,4,17256.0261703829
5000,26,4,17266.261784476
1e+05,26,10,17425.2761907976
500,31,5,17458.8638147409
1000,31,93,17460.5288925154
500,26,93,17862.046596979
1e+05,31,25,18006.9953825102
10000,26,25,18079.3067455596
1e+05,26,5,18157.0129840247
50000,26,5,18336.9160279283
5000,26,93,18472.2665429994
50000,26,5,18568.8668516151
500,26,4,18718.2759345827
5000,31,10,18795.5562098612
50000,26,93,19019.5544277322
1000,26,10,19376.6341843735
10000,26,93,19609.6724416818
1e+05,31,93,19695.709917762
50000,26,25,19792.1769323926
50000,26,93,20551.2383063718
50000,26,5,20984.2448237131
1000,26,93,21293.692270586
1000,31,25,22028.9181755734
