"maxterms","eps","degree","sum_rsstesthat"
3,0.5,15,4698.19085895638
5,0.01,31,14264.4335998092
5,0.5,31,14267.3726326689
5,5e-05,3,15227.6519609863
7,0.5,24,16817.3360677399
7,0.5,6,17898.9257602727
7,0.01,31,18385.6385092424
5,0.1,46,18942.1189108629
7,1,3,22155.0872192369
7,1,24,22175.2039370275
7,1e-04,3,24025.44323496
7,5e-05,31,24156.4989790614
7,5e-06,31,24412.9828748334
7,0.1,24,24432.1702749935
7,0.5,15,27630.223201646
7,1,37,30620.2883898494
11,0.01,31,33098.8943708978
11,0.5,15,34269.6152363079
11,0.1,31,37899.7590530997
11,0.1,3,38260.9963373326
11,0.2,6,38485.9791316883
15,5e-05,15,42854.723903098
15,0.1,3,44662.0506597125
11,1,31,45480.6691541573
11,5e-06,37,45616.02786969
15,1,31,59530.9521984833
15,0.005,3,60705.089617824
21,0.005,46,78281.8612842157
21,5e-05,46,92123.6048330982
21,1e-04,37,98258.8198824282
51,5e-05,31,203314.503231486
51,5e-06,6,210936.54083599
63,5e-05,37,273676.595133843
101,5e-05,31,457678.402915997
101,5e-05,31,470857.664339096
63,1e-04,15,799172.604318078
