"","num_trees","mtry","min_node_size","mean_Z_cv_error"
"27",50000,31,25,54186.6985461304
"5",10000,31,4,55143.4281733925
"45",10000,26,4,56948.4845923468
"6",50000,26,10,57238.257287951
"48",1000,26,93,58002.7194434107
"18",1000,31,25,58350.3413700418
"12",1000,31,93,58935.0045653894
"13",500,31,5,59594.8163555592
"31",5000,26,10,59704.7307507698
"43",10000,26,4,59771.622733498
"29",10000,31,10,60165.0116937716
"22",10000,26,4,60464.7751255586
"26",10000,26,4,61096.866371059
"46",5000,26,93,61675.6187910204
"20",1e+05,26,25,61812.5672915014
"39",1e+05,26,93,62722.3129401266
"10",1000,26,4,63261.4388516299
"42",10000,31,93,63308.479012637
"35",1e+05,26,93,63852.7111361961
"25",50000,31,25,64009.0344106477
"32",1000,26,25,64391.7328668432
"7",5000,31,93,64646.099703739
"28",1e+05,31,25,64753.9326227319
"40",1e+05,26,25,65505.9718750165
"37",5000,31,93,65560.0032246176
"14",5000,31,93,65625.531514165
"8",5000,31,4,66210.4630683118
"44",50000,26,10,66421.196453931
"34",500,26,25,66434.2447997607
"24",5000,26,10,66480.8191252658
"4",1000,31,4,66661.2129470603
"16",1e+05,26,5,66710.743012703
"33",1000,31,93,66817.6127799002
"11",500,31,25,66976.645249458
"1",5000,26,4,67018.9850211012
"17",5000,26,10,67330.1496305788
"3",5000,31,5,67935.2221099661
"23",5000,26,5,68275.5041150166
"41",1e+05,31,5,68549.720007924
"30",1e+05,31,5,68957.4259210876
"2",1e+05,31,10,69093.7806085985
"19",1e+05,31,5,69179.7280879578
"50",5000,31,5,69348.5576093337
"9",10000,26,4,69406.8395071342
"49",10000,26,10,69592.4256472521
"36",1000,31,25,70162.4822789632
"21",1000,26,10,70526.5176071205
"15",1000,26,25,75012.3036001583
"47",1e+05,31,10,77008.8381244236
"38",1e+05,31,4,78763.648760087
