"num_trees","mtry","min_node_size","mean_Z_cv_error"
10000,20,93,13269.1309260124
500,20,5,14608.7475693726
1e+05,20,4,14964.9758074248
1e+05,20,4,15051.6890678903
1e+05,20,10,15178.4596213343
1e+05,20,5,15217.3629315864
10000,20,93,15419.2149672427
10000,20,93,15481.672580258
1e+05,20,93,15565.8475588437
50000,20,10,15723.5006600655
500,20,4,15731.6951568633
1000,20,25,16454.7183242972
10000,20,93,16557.7805451485
50000,20,5,16879.4476069945
1e+05,20,25,16917.5129269236
500,20,4,16991.2587853632
1000,20,5,17064.077195073
500,20,4,17081.6557398637
1000,20,25,17081.7442609464
50000,20,5,17189.6896501969
1000,20,25,17208.6457397259
50000,20,25,17265.5187637507
500,20,5,17343.1174398183
500,20,93,17384.5109566013
10000,20,5,17501.8993633003
500,20,25,17556.1877786836
500,20,5,17580.62937284
1000,20,4,17587.7237328021
1000,20,25,17732.1557302624
5000,20,93,17869.3974716189
1e+05,20,25,17902.3863914097
1e+05,20,93,17967.7978524582
5000,20,93,18038.792642688
50000,20,10,18230.9680936641
1000,20,25,18249.5884520479
500,20,10,18300.1703281067
10000,20,93,18310.539160182
500,20,4,18440.6414016908
1e+05,20,93,18548.7576223109
500,20,5,18658.1489393862
500,20,5,18844.2200150114
10000,20,4,19414.0410053599
1000,20,5,19513.437369697
500,20,25,19787.121540915
10000,20,4,19971.7895115352
1000,20,4,20537.0598666323
5000,20,5,20864.4977383455
1000,20,5,20974.0412700811
1000,20,5,21241.6971407948
1e+05,20,10,21379.6728832473
