"maxterms","eps","degree","sum_rsstesthat"
3,0.01,2,1.42814022441721
3,0.01,24,1.49888751913174
3,1,10,1.59466443213437
3,0.5,24,1.85191871201792
3,0.005,20,1.92249247523937
5,0.005,20,2.94660448270195
5,0.2,20,2.97652856853558
5,1,30,2.99202950911486
5,0.005,16,3.1219224928117
5,0.01,2,3.47826346072895
5,0.1,4,3.48826934856977
7,0.1,4,4.09256856718148
7,1e-04,30,4.33191731894078
7,0.1,10,4.8689657881328
7,0.005,24,4.89383998802615
7,0.1,10,5.02449989390661
7,0.005,30,5.65224846731068
7,0.005,24,5.9067597145708
7,1,20,5.9433989906064
11,0.1,30,7.78465407529992
11,0.1,30,8.59141259891477
11,0.01,20,8.99270553001625
15,0.01,24,9.47398916573979
15,0.2,30,11.5121113263317
15,1,16,12.3086086258841
15,1,16,12.3735111303728
15,0.2,10,13.1489525997977
15,0.1,4,16.0867908186308
21,0.1,24,16.7003729989369
21,0.01,2,17.8970413293835
21,0.5,2,18.1845059414646
51,5e-06,16,22.3142021505232
41,1e-04,20,32.1470110104097
21,0.5,24,40.9374645605296
51,0.01,24,46.4660679680568
101,5e-06,2,76.7480844802383
101,0.005,4,82.9437180010864
101,5e-05,24,94.4186004273053
41,0.5,16,116.812103800341
41,1,10,121.968366472227
51,1,30,122.738872436335
51,0.1,24,236.737146569787
41,1,20,408.529243159834
101,0.5,4,584.577844070572
101,0.2,16,5099.68049587615
21,0.5,16,80887.0149626084
101,0.2,20,28423343014.4849
15,0.5,20,NA
101,0.2,20,NA
21,5e-05,24,NA
