"maxterms","eps","degree","sum_rsstesthat"
3,0.005,6,1.49078667736925
3,1e-04,3,1.64200052921033
3,1e-04,15,1.65349220230909
3,1,3,1.71418488092111
3,1,36,1.90671754754253
5,0.1,6,3.31656783381382
5,0.005,30,3.45511626310546
5,5e-05,3,3.81717139118637
7,5e-05,3,4.8027607515113
7,0.005,45,5.02061288259286
7,1,6,5.75802218493156
7,0.1,30,6.15726219748488
7,5e-06,3,6.54068391742146
11,0.5,3,7.82098936782359
11,0.01,30,9.19319100575252
11,0.1,3,9.77324596325356
11,0.005,45,10.7238667965706
15,1e-04,24,14.860482054975
11,0.01,3,19.6766009002217
21,1,45,20.025436525647
51,5e-05,45,47.0700913304552
101,0.005,30,228.786799268535
21,0.1,3,6669.43605364842
