"num_trees","mtry","min_node_size","mean_Z_cv_error"
500,30,25,65102.7679154255
500,30,25,68088.9406570724
10000,30,4,68943.4733106527
1e+05,26,10,72655.3826254431
10000,26,4,75111.7213664685
1e+05,30,10,75192.7016524019
1e+05,26,25,75901.7684687643
500,30,93,76686.1296720942
1000,30,25,76825.1093648438
10000,26,25,76826.4653536017
500,26,10,77779.6813305467
500,30,25,77878.7037400155
500,26,25,78486.8401690379
1e+05,26,25,78709.3277189969
1e+05,26,4,79637.7938758619
5000,30,10,80962.7944552243
5000,30,93,82942.8810703958
1000,26,4,83126.5235480222
1e+05,30,25,83504.9536203054
10000,30,5,84127.122386121
10000,26,4,85176.9172018162
1e+05,30,4,85215.1603284101
50000,26,5,85242.3318401251
1e+05,30,25,85599.0616926958
1000,30,25,85606.476461464
5000,26,4,86673.6024157544
10000,30,10,87567.5848453176
1e+05,30,25,87740.0910015372
50000,30,10,88390.7632572039
1000,26,5,88939.7210726542
1000,26,5,89034.6643131797
5000,30,25,89968.3718768321
5000,26,5,90872.2651448397
500,30,4,91167.4873459175
5000,30,5,91278.6985870028
50000,26,5,92579.7429220606
500,30,4,92961.0889875256
5000,30,93,92990.2898253807
500,26,4,93217.5127627864
1000,26,93,93756.3346370785
50000,26,25,94047.93398032
10000,26,4,94115.2364142678
1000,30,5,94790.6555771532
500,26,93,95212.1230168819
1000,26,25,96521.2146868096
50000,26,10,97264.1680410706
500,26,93,97600.0217126993
50000,26,93,97634.7241304927
1e+05,30,5,102719.160637379
50000,26,25,102739.585938694
