"","maxterms","eps","degree","sum_rsstesthat"
"4",3,5e-06,62,27.2196987064597
"10",3,5e-06,41,47.8343178863864
"26",3,1e-04,10,96.4867088884365
"18",3,0.2,26,116.178797281967
"23",5,1,41,147.931279987471
"5",3,0.5,10,149.491457789389
"24",7,0.005,26,152.42761266741
"15",3,0.5,26,166.603440569326
"11",5,0.2,26,231.102073465612
"3",5,5e-05,78,325.487230610512
"22",7,0.1,26,334.953307490001
"1",11,5e-06,10,354.336631436858
"6",21,1e-04,5,381.478304063964
"2",11,1e-04,26,466.207379531904
"14",5,0.5,26,479.440819309933
"8",11,5e-05,26,496.96434826788
"20",11,5e-06,52,576.557049031927
"25",11,0.2,78,809.460590264745
"17",21,5e-05,10,825.757785952646
"21",15,0.005,62,907.765949828471
"7",21,5e-05,41,1561.68416830518
"19",51,1e-04,41,2154.2080620473
"12",105,0.005,41,2992.73339834671
"13",5,0.005,78,4083.04307389235
"9",105,5e-06,62,5556.0735622699
"16",15,0.5,62,NA
"27",11,0.1,10,NA
