"","num_trees","mtry","min_node_size","mean_Z_cv_error"
"3",500,52,25,45590.9175757613
"38",10000,28,4,46157.9693464115
"25",1e+05,28,4,48074.6050141798
"15",5000,28,25,48325.6047507443
"40",1e+05,28,25,48445.0837813827
"9",1e+05,52,10,48704.9685483844
"10",1e+05,52,10,50594.5780483924
"18",500,28,25,51740.5670064736
"11",500,28,25,51770.6849526368
"20",500,52,25,52099.09685118
"8",1e+05,28,5,52474.6872586747
"28",50000,28,25,52506.5860107348
"33",1e+05,28,25,52580.5297131583
"4",1e+05,52,4,52972.6665501435
"36",50000,28,93,53062.8840035094
"6",10000,28,93,53130.9840936475
"13",5000,52,4,53471.435255565
"49",5000,52,93,53736.0965136458
"35",1e+05,28,5,53969.8506426399
"46",10000,28,5,53994.6207125439
"17",1000,28,10,54452.9967676004
"24",5000,52,4,54593.728133599
"5",1e+05,28,5,54780.2762142424
"31",50000,52,93,54813.628639719
"27",1e+05,28,4,54919.1332089773
"23",50000,52,25,55603.3696259974
"48",10000,52,4,55775.96979868
"7",1e+05,52,93,56163.9749242851
"37",10000,28,5,56334.4640442686
"1",10000,28,25,56380.0509074865
"14",5000,28,5,56862.1625278933
"43",10000,52,25,57601.3053123075
"42",5000,52,10,57769.4163223134
"39",1e+05,28,4,57774.0567264659
"29",10000,52,10,58389.0106593835
"45",1e+05,28,93,59199.3101470528
"34",5000,52,5,59217.5515765897
"26",1000,52,4,59225.4734621803
"2",10000,52,4,59268.665347326
"50",500,28,5,59449.5276335532
"16",1000,52,4,60346.1084333056
"19",1000,52,25,60721.3810698205
"22",1e+05,28,10,61028.4194344237
"21",1e+05,52,5,61833.4205750944
"44",1e+05,52,25,62642.8433739812
"30",1e+05,28,93,62945.6840182954
"32",1000,28,93,63178.3950781113
"47",50000,28,10,65014.200252109
"12",50000,52,4,65531.1901630031
"41",50000,52,25,65731.5475526795
