"maxterms","eps","degree","sum_rsstesthat"
3,1e-04,26,278.260212501446
3,5e-06,4,445.273928636088
3,1,22,473.537721431174
3,0.005,11,526.224869169087
3,0.2,22,583.035367593602
5,5e-05,11,679.675450611818
3,0.005,4,713.324073746511
5,0.01,26,801.498428886122
5,0.1,2,902.550120023798
5,0.01,22,1007.19976817873
5,0.005,22,1101.64215169583
7,1e-04,2,1182.45757233429
5,0.01,11,1276.04819653942
5,0.005,22,1303.77248268334
7,0.01,4,1438.85580394589
5,0.005,22,1446.31165954136
7,0.5,4,1474.40049275643
7,0.5,26,1837.39011898268
7,5e-05,4,2165.32929428162
15,0.01,2,2406.13718778681
7,5e-06,4,2738.02810507017
11,0.01,26,3015.82833572682
11,1e-04,17,3460.39137888281
15,0.2,26,3983.3560177054
21,1e-04,26,4270.13500278288
21,1e-04,26,4381.82317260941
15,1e-04,33,4414.74828504749
15,1,2,4503.45339783923
15,0.2,2,5235.14978052688
15,0.01,22,5297.10429806013
15,5e-06,11,5865.64829626533
21,1e-04,2,7169.83885650948
15,0.1,17,8063.35276408575
45,1e-04,2,12527.7511956217
45,5e-05,33,18789.0632188624
45,0.5,2,30065.4034837262
101,5e-06,2,32472.4618478687
45,5e-05,22,33970.7989118038
45,0.2,22,34251.3528738112
101,5e-06,11,37704.9874835864
101,1e-04,4,40858.3052374556
45,0.5,22,46241.6333317121
101,0.2,2,67541.5801310218
45,1e-04,22,76243.536615834
101,0.01,11,86243.0865700534
45,0.2,4,187758.014302836
101,0.01,11,280780.932846627
101,1,2,3186362.98935294
101,0.5,22,57075075.4754497
45,5e-06,26,NA
