"num_trees","mtry","min_node_size","mean_Z_cv_error"
1000,22,4,1590.05471582726
1000,22,4,1596.95843269526
1000,22,5,1654.96380960636
5000,22,25,1686.94323588679
1e+05,22,25,1707.22190684657
5000,22,25,1715.45258008389
500,22,10,1842.2099211996
1e+05,22,10,1854.59377847311
1000,22,10,1862.87470001711
500,22,4,1889.47830229308
1000,22,93,1903.06327142715
1000,22,25,1933.02799058986
500,22,10,1933.79577521747
10000,22,10,1937.22619735062
10000,22,25,1953.99823139012
1000,22,25,1960.99864480554
1000,22,5,1961.56603924318
1e+05,22,93,1961.95107337648
1000,22,25,2000.32286312124
500,22,5,2008.39360072103
50000,22,25,2017.84086292055
10000,22,93,2025.40236633656
10000,22,10,2043.33872093349
500,22,5,2078.59510817839
500,22,93,2142.15407443061
1e+05,22,93,2147.74449228333
10000,22,5,2187.30379624236
10000,22,4,2189.53116795211
500,22,5,2233.87854116794
10000,22,5,2267.15217279793
5000,22,25,2282.85204784955
1e+05,22,10,2354.83873376503
5000,22,5,2361.17373932169
10000,22,25,2407.99081846055
10000,22,10,2477.57630911821
1e+05,22,4,2510.02070850983
5000,22,4,2510.66512057364
50000,22,4,2513.34371330467
500,22,25,2525.59331895131
5000,22,4,2543.01861581891
5000,22,5,2582.78587884167
500,22,5,2610.15472042412
5000,22,25,2733.55463623069
5000,22,25,2786.04632235349
50000,22,10,2803.89285527789
1e+05,22,4,2817.01951514388
50000,22,4,2866.04611631144
5000,22,25,2882.38780284528
500,22,10,2882.79567904667
5000,22,4,3000.04640776671
