"maxterms","eps","degree","sum_rsstesthat"
3,0.01,11,101.179106663084
3,0.2,17,102.975594558648
3,0.01,4,117.88164056014
3,1,2,154.40048045526
3,5e-05,4,171.029082449162
3,1,4,175.102050036518
3,0.5,2,194.637740515015
5,5e-05,11,210.856202880584
3,0.005,26,212.438429842472
7,1e-04,22,288.277600023896
7,0.005,2,328.128627065173
7,0.01,2,335.478461508877
5,5e-05,11,344.357355966833
5,1e-04,26,354.995596089966
7,0.2,2,391.323139629963
7,0.01,4,393.944522330625
11,1,2,439.648168841393
15,0.01,26,462.842666663299
7,5e-06,22,492.841263103447
5,1,4,525.641482741889
15,5e-05,26,562.650398166237
11,5e-06,17,575.005834797535
15,0.005,2,1325.71061351414
11,0.5,33,1384.15878743789
101,0.005,4,2863.67532830715
45,5e-06,2,3116.34116466549
45,1e-04,4,3487.10895144673
45,0.005,26,4128.62588176427
45,0.01,22,4215.6975166461
21,0.2,22,4429.41625770276
15,0.5,26,5925.41743377331
101,1e-04,2,7286.96926214983
45,0.2,4,11091.7279608961
45,0.01,4,12392.2661275496
101,1,2,22048.7132192729
21,0.2,26,25527.0091393363
21,0.2,11,25869.9741807258
101,0.005,33,46994.2867559396
15,0.005,11,48097.0091593719
101,0.5,2,125603.734503545
101,0.1,4,184078.789276079
51,0.5,22,314697.587560772
21,5e-06,26,689354.428659905
11,5e-05,33,22555689.3991038
101,0.1,22,NA
21,5e-05,26,NA
7,0.5,17,NA
