"num_trees","mtry","min_node_size","mean_Z_cv_error"
1e+05,22,5,197.507399339613
10000,22,10,244.013808369485
1000,22,5,337.33998960336
1000,22,5,350.848680000611
1000,22,93,359.473185049959
50000,22,93,363.966938698838
5000,22,93,370.745981312367
500,22,93,376.745785952825
50000,22,93,388.249165873573
10000,22,25,394.343414243484
500,22,93,403.71353734014
10000,22,93,405.189550370079
1000,22,25,406.101982109726
50000,22,25,409.949134646297
1000,22,4,413.036351096216
1000,22,93,414.214636396849
5000,22,93,418.6070046808
50000,22,93,424.122285248608
500,22,10,429.865871005355
500,22,4,446.323331008407
500,22,25,450.557594955565
1000,22,5,450.885097275002
5000,22,4,463.597390330451
50000,22,25,483.603624102592
1e+05,22,10,492.452388447808
10000,22,4,502.819608984476
50000,22,10,517.240315780809
1e+05,22,25,521.458446737553
500,22,5,528.50237618872
10000,22,10,532.858592139279
1000,22,4,533.757683314039
50000,22,4,545.248355465946
50000,22,5,561.379245530197
1e+05,22,4,570.212334662739
1e+05,22,10,587.382489647633
50000,22,4,588.55992471107
1000,22,93,595.076255452956
50000,22,25,601.863354540025
50000,22,25,605.766888764723
5000,22,25,612.647334128599
1000,22,4,617.177897066599
10000,22,10,624.42387865377
1e+05,22,10,642.472632929685
10000,22,4,650.834121974971
500,22,10,663.548684675568
500,22,25,663.67372291775
500,22,25,746.227401303478
50000,22,5,752.162340633585
50000,22,5,832.525293427332
50000,22,93,837.876766401566
