"maxterms","eps","degree","sum_rsstesthat"
3,1,11,0.375651989156753
3,0.5,33,0.386577610364353
5,0.5,4,0.498490997715986
5,1e-04,2,0.534653227080107
5,0.005,22,0.630152138253091
5,0.01,17,0.642768454385117
5,0.5,33,0.722389498788672
5,0.01,11,0.877212115122968
7,1e-04,2,0.946815918651195
7,0.5,26,0.981179095785311
7,0.01,11,1.08444505119072
7,0.005,22,1.42498420482737
7,0.5,11,1.91894336651908
11,0.5,4,1.92871307565762
11,0.1,33,2.26905892048693
11,5e-06,11,2.31210154379941
21,1e-04,2,2.48017514119612
15,0.5,33,2.58159811411723
15,1e-04,11,2.7826957718584
15,0.2,26,2.93018669836252
15,0.1,4,3.05980416393642
15,0.5,33,3.071398370968
21,1e-04,26,3.16786231025478
21,0.005,26,3.42964779350148
15,0.5,26,3.51005014268013
21,5e-05,17,3.56062748059836
15,1,22,3.60540486559282
15,0.2,11,4.0569379349472
21,0.005,4,4.12027402372618
21,0.1,33,4.35075743908301
21,5e-05,4,4.38068561182617
15,0.5,33,4.65982770632186
21,0.005,11,5.3523877495152
21,0.1,2,5.53201405057844
21,0.005,33,8.1026050128928
51,0.01,4,10.3738139407686
45,0.1,17,10.5415001315769
45,0.01,4,11.3791067806002
51,1,2,14.9358475731624
51,1,2,16.178560492515
101,1e-04,11,18.0913938997979
101,0.005,4,19.9813250228848
101,0.01,2,22.9673840821071
45,0.5,33,84.1927484356205
45,0.1,26,559.437800689492
51,0.2,22,762.811899737275
101,0.5,17,1688.2151247955
101,0.1,22,201936.513520692
101,1,26,378109.707935487
