"num_trees","mtry","min_node_size","mean_Z_cv_error"
50000,22,25,0.910314493775426
10000,22,25,0.925861243445353
500,22,4,0.939356336769759
50000,22,93,0.949394619189629
1e+05,22,25,0.957538077477925
10000,22,93,0.983514831807773
10000,22,4,0.986919709261168
5000,22,25,0.987717047484628
10000,22,5,1.00472970832268
50000,22,10,1.00982276654033
5000,22,10,1.01603132773943
10000,22,25,1.03231642336341
50000,22,93,1.0499782897902
5000,22,10,1.05005262489216
1e+05,22,4,1.05474157373855
500,22,93,1.0650027589817
10000,22,25,1.06688713296214
1000,22,5,1.07265268996564
1000,22,5,1.09345922973654
50000,22,93,1.15399686604916
1e+05,22,93,1.15406452226202
50000,22,93,1.15608325545076
5000,22,4,1.15838176117984
50000,22,5,1.17329120997782
1e+05,22,93,1.17934646601126
1e+05,22,5,1.2248342822253
500,22,25,1.22584500085682
5000,22,93,1.23978461174207
10000,22,93,1.25097554706953
10000,22,10,1.25319474021417
1000,22,10,1.25778049087512
500,22,25,1.28098247525819
50000,22,93,1.29984062653742
50000,22,93,1.30639800944558
50000,22,4,1.31861736529507
500,22,93,1.3194848473357
500,22,5,1.33152592962199
1e+05,22,10,1.33853499590112
5000,22,4,1.34751771517755
5000,22,4,1.35345118109966
1000,22,25,1.36151582771454
50000,22,5,1.39733525370083
500,22,5,1.42540503298969
5000,22,4,1.42663289696449
500,22,25,1.42832183625298
50000,22,5,1.43013465448471
500,22,5,1.44336001063001
1000,22,5,1.46836381955326
5000,22,5,1.47555591473035
10000,22,5,1.49290365167938
