"maxterms","eps","degree","sum_rsstesthat"
3,0.01,12,812.135119226003
3,0.5,16,872.612539668325
5,0.1,8,1274.18526456051
5,0.01,1,1355.36511961246
3,1e-04,24,1863.36635652532
7,1e-04,19,2301.72883595961
5,1e-04,19,2410.62906327884
5,0.2,1,2632.72532362855
5,0.005,19,2633.56205975224
5,5e-06,12,2841.18163687844
7,0.005,19,3103.40074200991
5,5e-05,19,3472.71340712733
5,0.005,3,3701.52219536152
7,1,3,4257.82203890036
7,0.005,3,4344.14482188788
7,0.2,3,4534.56189249465
11,0.01,24,5425.13503250937
15,0.005,3,5496.00310376904
15,0.2,24,6640.61131012121
11,0.2,8,6883.82888802723
11,5e-06,8,6945.76797928029
21,5e-06,1,7254.79633691446
15,0.5,3,7851.56510513335
15,0.2,3,8019.73326444431
21,0.5,12,8717.81269501387
15,0.2,3,10000.1488292324
33,5e-05,1,10455.5334208482
15,0.01,12,11326.3550122724
15,0.5,8,11953.0362170285
33,5e-06,1,12047.9098558802
33,0.01,1,12620.8535756333
21,5e-06,3,14366.3787962167
21,0.005,19,14683.5129433445
21,5e-05,24,15585.3946468674
21,0.005,12,16598.1599353816
33,0.005,12,19162.0152874506
33,1e-04,19,19587.2955166903
33,0.2,24,20216.6698635039
51,5e-05,3,22130.3177966966
51,0.5,16,28548.8292259066
33,1e-04,8,29809.7933337673
51,0.01,8,33226.3093700894
51,0.5,8,35491.3891635468
51,1e-04,3,36049.2634007389
51,0.1,8,38979.6830006178
101,0.01,12,45135.6946181909
51,1e-04,1,46363.0771279891
51,0.005,8,48686.5023043976
101,5e-05,19,51012.2460344355
101,0.005,16,64230.9154195061
