"","b","c","alpha","mse","mse_debiased"
"CF",-1.03632371040674,-0.0761055212084867,0,538.929412637475,538.467388667096
"CBoost",-1.03658725672025,-0.0408793886619926,6.42785752224047,538.467970798575,538.458880363345
"CMARS",-1.03632371040674,-0.0761055212084869,0,540.050709809365,538.467388667096
"PTOForest",-1.03632371040674,-0.0761055212084869,0,539.558563450563,538.467388667096
"XBoosting",NA,NA,NA,NA,NA
"XRF",-1.03632371040674,-0.0761055212084868,0,543.462989828127,538.467388667096
"XBART",-1.03823200148353,0.0188536331098225,0.0960483327415702,542.167003096826,538.431676455417
"RBoosting",-1.03632371040674,-0.0761055212084867,0,538.598892126109,538.467388667096
"RLasso",-1.0606617820449,0.427160258045119,0.520246830709496,538.67659203811,538.089624853461
"RSlearner",-1.05485948259587,0.340141818720431,0.483943008078025,538.702204796487,538.348838020487
"stack",-1.0606617820449,1.98891714843312e-15,1,538.089624853461,538.089624853461
