"","b","c","alpha","mse","mse_debiased"
"CF",-1.8656596125828,9.11580831791368,13.7554363629084,859.416874648021,856.602333511179
"CBoost",-1.81203737742287,0.0837103697814118,1273.68182862757,859.87217706953,859.708833783681
"CMARS",-1.81017981837862,0.255859305840576,0.453104481841009,860.284565097952,859.556553615868
"PTOForest",-1.85918605140317,-1.25811346915368,1.21250423769869,859.165876146129,858.800365254686
"XBoosting",NA,NA,NA,NA,NA
"XRF",-1.82875568482667,-0.0447276724768964,0.326900502191554,861.977079325046,859.505926373949
"XBART",-1.91052501041595,0.596290827005869,0.99696511080772,855.502851555684,855.466706524396
"RBoosting",-1.83489333056288,-87.2546374623942,176.579720252618,859.997359662841,859.661508565175
"RLasso",-1.81288365407292,1.01974676207031,1.35034961424808,858.996954762284,858.87943277399
"RSlearner",-1.78666492774792,-0.00963145849254244,0.156818181818182,859.87789220454,859.861322087878
"stack",-1.92709802155662,-9.37538780893779e-10,1,854.620740694423,854.620740694336
