"num_trees","mtry","min_node_size","mean_Z_cv_error"
50000,31,25,13979.5131303342
50000,26,5,14624.5908214277
50000,31,93,15223.0563772226
1e+05,26,93,15422.3810492601
10000,31,4,15660.3084927796
50000,26,93,15682.569573481
50000,31,10,15932.2504476118
1e+05,31,4,15953.6738818433
500,26,10,16134.3086165388
50000,26,5,16240.3551871818
10000,26,25,16525.9616838088
1e+05,26,10,16551.9689250767
1e+05,26,4,16670.856497183
50000,31,4,17136.0375109401
10000,26,25,17433.3522810464
1000,26,10,17452.5425009215
5000,26,10,17468.6704412552
50000,26,93,17514.0191265115
5000,31,10,17587.2916734784
50000,31,10,17588.3681493591
5000,26,5,17647.703132771
5000,26,25,17996.444872671
1000,26,93,18120.0776493273
50000,26,4,18161.519481188
500,26,25,18313.3729710665
5000,31,5,18355.610099709
500,26,5,18526.7627631036
50000,26,25,18617.1707196377
10000,26,5,18660.6510264117
500,26,93,18746.188747071
1000,26,93,18798.2933242805
50000,26,93,18811.3403562001
1000,26,5,18944.1036865299
1000,31,93,19142.4638410958
1000,31,10,19213.3335493071
5000,31,4,19407.1997407682
1e+05,31,10,19678.6833336117
10000,31,93,19727.1508549628
500,31,93,19861.4514827023
1000,31,5,20150.8170119535
1e+05,31,25,20157.1519536708
500,31,93,20186.5722971627
10000,26,10,20246.9080272017
1000,26,93,20424.4046543554
500,26,93,20589.3991618129
5000,31,25,20676.7755606213
1000,26,93,20736.3061552355
1e+05,26,5,21207.2498485737
50000,26,4,21501.472497398
10000,31,10,23193.8667117344
