"maxterms","eps","degree","sum_rsstesthat"
3,1e-04,27,4596.53610449028
3,1,13,8120.07719610044
3,1,5,8369.99129369795
3,0.5,2,8801.17861845437
3,0.5,32,9105.59256147943
3,1,32,9233.93024290807
3,1,2,9348.12461724375
5,1,5,12643.2137399324
7,5e-05,32,21631.00805263
7,1e-04,40,23131.8223822766
7,1,2,27151.191387415
11,0.2,2,38687.3180136709
11,1,21,43877.3792275392
11,0.5,2,45493.1801018237
15,0.5,2,49319.8832319607
11,0.5,2,52702.6164087452
15,0.5,21,56790.5736058351
15,0.2,32,57747.7526339777
15,5e-05,32,59882.8874457985
15,1e-04,40,60025.9784084156
15,0.2,27,67119.1800853817
15,0.005,5,73372.6423925221
21,1,13,85205.1502123802
21,0.01,13,87129.6553865956
21,5e-05,27,90095.6289463782
21,5e-05,27,94490.0168020406
51,5e-06,32,214056.363648309
51,0.01,2,224106.99401319
55,5e-06,2,259713.48941389
55,0.01,13,261561.916037488
55,1e-04,2,282874.777200742
55,0.005,21,297422.843936532
55,1,2,315523.458467867
101,0.005,13,1306286.87149853
55,0.01,27,65814063.134688
