"","maxterms","eps","degree","sum_rsstesthat"
"33",3,0.5,31,4361.85801080638
"16",3,1,15,9297.8169583322
"28",3,0.2,31,9553.99295757524
"30",3,0.2,3,9774.25802617816
"22",3,1e-04,46,9788.09919710728
"24",5,1e-04,46,15662.8997545373
"27",5,0.2,46,17860.3439083586
"19",5,5e-06,6,18070.6617041964
"20",5,1e-04,3,19356.0501219047
"26",5,1e-04,46,19549.7087890439
"12",5,0.5,37,20918.0272384389
"11",7,0.2,6,27980.3877840817
"5",7,5e-05,24,29487.3811656146
"1",7,0.01,15,30842.720088723
"34",7,0.01,6,31235.170113516
"21",7,1,24,31737.9170916986
"15",11,5e-05,3,45793.1224688663
"10",11,5e-06,24,46140.8119374333
"13",11,5e-05,6,49013.0986945335
"25",15,1,3,59048.6872237768
"8",21,5e-05,24,89723.7288241793
"6",21,1e-04,46,90189.5230711765
"23",21,1,46,107089.660709053
"9",21,5e-05,37,111189.034545847
"7",21,1,6,180671.513557151
"18",51,5e-06,3,228639.750051829
"31",51,1e-04,3,229299.949611296
"17",63,1e-04,3,246024.136329262
"32",51,5e-05,31,268969.983432579
"3",63,5e-05,3,315449.577175224
"4",63,5e-05,37,336482.614094549
"14",101,5e-05,3,452755.314856415
"2",101,5e-06,37,464619.250108526
"29",101,0.5,3,7563880.7882902
