"","b","c","alpha","mse","mse_debiased"
"CF",4.37056164309676,10.7426438907166,0.418401987350348,3676.35905660945,3643.22181826907
"CBoost",4.49426467372596,10.4477700798484,0,3674.31919297676,3645.20201230936
"CMARS",4.49426467372596,10.4477700798484,0,3846.23467726641,3645.20201230936
"PTOForest",4.49426467372596,10.4477700798484,0,3732.93992385738,3645.20201230936
"XBoosting",NA,NA,NA,NA,NA
"XRF",4.41335452687851,9.27675344122048,0.238705346254164,3657.76747427579,3643.72578484119
"XBART",4.49426467372596,10.4477700798484,0,3730.74450704043,3645.20201230936
"RBoosting",3.81452509559473,-95.5235614265196,220.338427367265,3671.27526347409,3588.49066451608
"RLasso",NA,NA,NA,NA,NA
"RSlearner",NA,NA,NA,NA,NA
"stack",3.81452509559493,3.1956601560818e-12,0.999999999999694,3588.49066451608,3588.49066451608
