"num_trees","mtry","min_node_size","mean_Z_cv_error"
10000,31,10,49721.2024084674
10000,26,5,53369.8870403926
5000,26,25,55244.242073449
1e+05,31,10,55452.9431725759
1e+05,31,5,56342.1050107192
500,31,25,56353.3712014332
1e+05,26,25,56943.3473185877
5000,26,25,58111.1868772386
50000,31,25,58195.736476524
5000,26,93,58404.7217952147
500,26,5,59347.2546213035
10000,26,4,59414.1976801855
500,26,93,60325.1381002871
10000,26,25,60669.09368471
1e+05,31,4,60836.0983499845
500,26,10,60962.5065084115
10000,26,93,61478.9238293187
1e+05,26,5,61506.0779706401
5000,31,5,61509.8443944499
1000,26,5,61697.0839855255
1e+05,26,93,61839.5134905746
50000,31,4,62081.0920590843
1e+05,26,10,62556.4818404636
500,26,93,62986.7221072553
500,31,93,63081.274190957
500,31,4,63197.7578834141
500,31,4,63345.363341994
500,31,5,63372.7034395424
1000,31,4,63554.6099139419
5000,26,4,63641.8782229041
50000,31,25,63718.7635276814
10000,26,4,64650.3032639554
500,31,10,65549.9653644432
1000,26,10,65562.831440077
500,31,4,66168.6580795529
5000,26,93,66190.4887472795
10000,31,93,66369.939385964
1e+05,31,5,67001.9787246252
5000,31,10,67362.5354143286
5000,26,10,67438.3831461743
1e+05,26,5,68194.1957363252
1e+05,31,25,68474.58777424
50000,26,10,68737.6833763163
50000,31,93,69191.4550295785
10000,26,25,69833.2682222816
10000,26,5,70019.4657644839
50000,31,10,71111.2016417592
10000,31,10,71374.2693218247
1e+05,31,25,72692.2923403917
1000,26,4,76375.6267575788
