"","b","c","alpha","mse","mse_debiased"
"CF",4.11229955376892,-13.2663172867717,2.72477580917517,5555.15876272215,5541.68234888935
"CBoost",4.03384210468851,7.20808877292471,0,5592.48289929829,5575.87385698489
"CMARS",3.94646940497126,6.62185669883758,0.168234759888974,5640.19115803572,5572.45737401564
"PTOForest",4.03384210468851,7.20808877292471,0,5648.60851875919,5575.87385698489
"XBoosting",NA,NA,NA,NA,NA
"XRF",3.94250807015852,0.30060394488189,0.69870835123685,5571.40256658514,5569.72792152943
"XBART",4.43976110908348,5.78990899643118,0.71315834734309,5534.59591883097,5513.83971645997
"RBoosting",3.50919377548468,-38.4383297185464,91.3445579370644,5587.17283612059,5479.31724985458
"RLasso",NA,NA,NA,NA,NA
"RSlearner",NA,NA,NA,NA,NA
"stack",3.78691649554777,2.51984967473608e-15,0.999999999999999,5437.70611162253,5437.70611162253
