"","b","c","alpha","mse","mse_debiased"
"CF",0.440875168087782,9.69608903669348,0,1518.53394674927,1511.41258834736
"CBoost",0.568407699620714,4.27374519497009,17758.6055607704,1535.04385823167,1472.68250056283
"CMARS",0.440875168087782,9.69608903669347,0,1634.85861153087,1511.41258834736
"PTOForest",0.440875168087782,9.69608903669347,0,1527.24101571732,1511.41258834736
"XBoosting",NA,NA,NA,NA,NA
"XRF",0.440875168087782,9.69608903669347,0,1527.01436012339,1511.41258834736
"XBART",0.440875168087782,9.69608903669347,0,1566.79340763917,1511.41258834736
"RBoosting",0.440875168087782,9.69608903669347,0,1533.65673325618,1511.41258834736
"RLasso",0.440875168087782,9.69608903669347,0,1562.99647789098,1511.41258834736
"RSlearner",0.440875168087782,9.69608903669347,0,1564.98424343181,1511.41258834736
"stack",NA,NA,NA,NA,NA
