"","maxterms","eps","degree","sum_rsstesthat"
"29",3,5e-05,26,3827.9328289398
"6",3,1e-04,62,3939.24081337874
"11",3,5e-05,10,7421.18100725652
"16",5,5e-06,5,7489.64405161697
"25",3,1e-04,52,7662.29017715205
"8",3,0.1,78,7877.20193701024
"2",3,1e-04,78,8798.44990648368
"14",3,1,26,8862.1113275167
"24",3,0.005,62,9382.48215792964
"1",3,5e-05,62,9517.10395270232
"4",3,0.2,62,9986.04964318246
"21",5,0.1,62,11635.3443909684
"20",5,0.1,62,11764.9158727823
"22",5,0.005,78,12361.4440828981
"5",5,0.2,10,12773.2782627645
"23",7,5e-05,41,15170.8518326422
"3",5,5e-05,26,17086.7077268907
"30",7,0.2,41,23424.5928704302
"26",7,5e-05,10,36221.5393632638
"15",15,5e-06,10,65409.4096083013
"17",15,1e-04,41,65438.9042363916
"9",15,0.01,62,71940.5232903881
"18",21,0.01,52,73024.6903509714
"7",21,5e-06,26,80269.180960431
"19",21,0.2,5,103796.788191985
"27",105,5e-06,26,412313.275797963
"12",105,5e-05,26,476222.467922692
"28",21,0.5,52,497243.601052387
"10",101,5e-06,78,498053.624746425
"13",105,0.005,78,507369.25347051
