"","b","c","alpha","mse","mse_debiased"
"CF",1.07235712007832,-0.0365783459985335,0.740003998981252,439.66737547934,439.646446476207
"CBoost",1.06318583201,-0.422339684101657,0,439.750393984004,439.709618005323
"CMARS",1.04895518732896,-0.032014044622376,0.691708448044062,439.058260999297,438.912185413368
"PTOForest",1.06318583201,-0.422339684101657,0,440.629715212256,439.709618005323
"XBoosting",NA,NA,NA,NA,NA
"XRF",1.06318583201,-0.422339684101657,0,447.549290987198,439.709618005323
"XBART",1.05800913109441,-0.409926873413207,0.145962464237014,443.255786998517,439.590430535013
"RBoosting",1.0743981345501,-0.76565740764038,1.02639803516657,439.778938668557,439.646567766421
"RLasso",1.08611629747055,0.0329293752297503,0.869955426613158,439.142724187774,439.116983856499
"RSlearner",1.08477508612503,-0.0158990381868492,1.00643990222103,438.981076800037,438.981512571693
"stack",1.06698362106991,3.1562561880276e-15,0.999999999999999,438.84342364001,438.84342364001
