"","b","c","alpha","mse","mse_debiased"
"CF",-0.244503525680161,1.61330124736796,0.112891943285439,5.60848856812088,5.44509958989376
"CBoost",-0.256755268087005,1.53207250959201,83.3224887921509,6.21771818620665,5.42088242026049
"CMARS",-0.245161561982905,1.74937320844038,0,6.64497793511652,5.44686698290866
"PTOForest",-0.245161561982905,1.74937320844037,0,5.99624101028939,5.44686698290866
"XBoosting",NA,NA,NA,NA,NA
"XRF",-0.237703701521408,1.11352077847704,0.538786202132838,5.51872626177859,5.42367865338926
"XBART",-0.237927270391916,1.64217466562218,0.0921014911371137,6.22785658022807,5.43582681266526
"RBoosting",-0.226196872276551,1.01643724862712,0.572939919651874,5.44917287297119,5.34826324536746
"RLasso",-0.244012708228869,1.68414281342747,0.0548622987423611,5.93833042836589,5.44488430220657
"RSlearner",-0.245514072989488,1.63399619729261,0.0917403911885797,5.84987533493605,5.44355433520407
"stack",-0.229149655714655,1.0768591043748e-15,1,5.34894914035621,5.34894914035621
