"","b","c","alpha","mse","mse_debiased"
"CF",-0.250018708102829,1.63158063388527,-1.38777878078145e-17,9.14206551010811,8.99861992282572
"CBoost",-0.247361026005865,1.60915026143155,0.75902500433047,9.64633614813628,8.9970431284207
"CMARS",-0.298416184432601,1.26068567159953,0.331088689284004,9.35624016116162,8.96232424170999
"PTOForest",-0.2560433076171,1.2969090299659,0.331812992590817,9.15655686956621,8.98592582488542
"XBoosting",NA,NA,NA,NA,NA
"XRF",-0.250018708102829,1.63158063388527,0,9.44695968900237,8.99861992282572
"XBART",-0.258311224961863,1.57140040317883,0.094018820078491,9.93008272080407,8.99600964963241
"RBoosting",-0.250018708102829,1.63158063388527,0,9.6551412569154,8.99861992282572
"RLasso",-0.250018708102829,1.63158063388527,0,9.16558083830572,8.99861992282572
"RSlearner",-0.25083915046451,1.60981658652532,0.0180082057145266,9.2648394127043,8.998965558809
"stack",-0.297835245193458,-1.04096380089564e-14,1.00000000000001,8.95930812916518,8.95930812916518
