"","b","c","alpha","mse","mse_debiased"
"CF",-1.23648086975907,-0.161794762284173,1.61659918856853,73.7837681529563,73.7719374782294
"CBoost",-1.24208427999027,0.298329767409957,0,73.8678567734009,73.8239532478109
"CMARS",-1.24208427999027,0.298329767409957,0,75.1792839998007,73.8239532478109
"PTOForest",-1.23330543113691,0.129814964347238,0.445632976042508,73.8449586784112,73.66815597183
"XBoosting",NA,NA,NA,NA,NA
"XRF",-1.23865783289602,-0.0590677657982177,0.761839341128726,73.5986581473547,73.5831045695389
"XBART",-1.20916360561844,0.252455009424198,0.293061724124165,74.087277727873,73.636221393943
"RBoosting",-1.1964583243691,-1.37204364583961,3.80959077726596,73.2396578642565,72.5068290258772
"RLasso",NA,NA,NA,NA,NA
"RSlearner",NA,NA,NA,NA,NA
"stack",-1.1964583243691,5.82772813135965e-17,1,72.5068290258772,72.5068290258772
