"","b","c","alpha","mse","mse_debiased"
"CF",0.698142277158736,-0.281667107616256,0,83.6798669032322,83.0532176902031
"CBoost",0.698142277158736,-0.281667107616256,0,83.0811124248686,83.0532176902031
"CMARS",0.698142277158737,-0.281667107616256,0,85.2071921653198,83.0532176902031
"PTOForest",0.749577724409928,-0.73710830750158,0.633756440943507,83.1820899955765,82.8029681068275
"XBoosting",NA,NA,NA,NA,NA
"XRF",0.698142277158736,-0.281667107616256,0,84.7369342946737,83.0532176902031
"XBART",0.698142277158736,-0.281667107616256,0,86.7310334913365,83.0532176902031
"RBoosting",0.70415739585826,-0.332725633979151,0.102055669803903,83.5633068940951,83.0578527327794
"RLasso",0.698142277158736,-0.281667107616256,0,83.9031736782784,83.0532176902031
"RSlearner",0.698142277158736,-0.281667107616256,0,83.9117777683793,83.0532176902031
"stack",NA,NA,NA,NA,NA
