"","b","c","alpha","mse","mse_debiased"
"CF",1.20336464384763,-1.07986737500737,0.329435873766166,83.3462564448209,82.7624638895604
"CBoost",1.19873466536674,-1.06556216333658,778.424698654364,82.9466223019374,82.6374999434089
"CMARS",1.20511699821534,-0.85446850681666,0,84.5861142854233,82.7687154352414
"PTOForest",1.20511699821534,-0.85446850681666,0,84.6319260210436,82.7687154352414
"XBoosting",NA,NA,NA,NA,NA
"XRF",1.20511699821534,-0.85446850681666,0,83.656349974822,82.7687154352414
"XBART",1.20511699821534,-0.85446850681666,-6.93889390390723e-18,85.1750823093884,82.7687154352414
"RBoosting",1.1962350238932,-1.00370426080235,0.260739061445466,83.3499121176328,82.7246048321317
"RLasso",1.20511699821534,-0.85446850681666,-5.55111512312578e-17,84.576926099604,82.7687154352414
"RSlearner",1.20511699821534,-0.85446850681666,0,83.5611716034614,82.7687154352414
"stack",1.19873466536674,-8.49530766702147e-15,0.999999999999992,82.6374999434089,82.6374999434089
