"","b","c","alpha","mse","mse_debiased"
"CF",0.168176726183186,-1.69931344532608,0,83.8329716457117,83.4060625967176
"CBoost",0.168176726183186,-1.69931344532608,0,84.12291077055,83.4060625967176
"CMARS",0.168176726183186,-1.69931344532608,4.44089209850063e-16,84.1812788066919,83.4060625967176
"PTOForest",0.168176726183186,-1.69931344532608,0,84.8654410982906,83.4060625967176
"XBoosting",NA,NA,NA,NA,NA
"XRF",0.168176726183186,-1.69931344532608,0,84.9243653996482,83.4060625967176
"XBART",0.168176726183186,-1.69931344532608,0,84.811932892087,83.4060625967176
"RBoosting",0.18863966728862,-2.19270276143589,1.33249035549489,84.2812095545826,83.2082081812989
"RLasso",NA,NA,NA,NA,NA
"RSlearner",NA,NA,NA,NA,NA
"stack",0.18863966728862,-6.38753078629723e-14,1,83.2082081812989,83.2082081812989
