"","b","c","alpha","mse","mse_debiased"
"CF",0.356675284031955,8.50611601894911,6.00767487976497,532.838764389999,531.857892523118
"CBoost",0.307155743343198,-0.324375929231787,0,532.852270265598,532.817677776568
"CMARS",0.307155743343198,-0.324375929231786,0,537.05802833452,532.817677776568
"PTOForest",0.307155743343198,-0.324375929231787,0,533.627812580394,532.817677776568
"XBoosting",NA,NA,NA,NA,NA
"XRF",0.307155743343198,-0.324375929231787,0,539.043314573315,532.817677776568
"XBART",0.320638812407745,-0.103877577402757,0.168516328972694,535.36845989125,532.729219416774
"RBoosting",0.332968623774431,-0.349279105589579,1.51532634882555,532.780271924958,532.743752121241
"RLasso",0.307155743343198,-0.223910567278259,0.0627753303964758,533.214836927381,532.817677776568
"RSlearner",NA,NA,NA,NA,NA
"stack",0.356675284031954,-2.64245404515177e-09,0.999999999999989,531.857892523142,531.857892523118
