"","b","c","alpha","mse","mse_debiased"
"CF",-0.053600480424979,-1.39296196279692,8.35287918206835,491.608771726515,489.099021717136
"CBoost",-0.0434036357792144,-2.20066655380018,255.542791446388,492.117153578136,490.487719129386
"CMARS",0.0133273589475854,-2.1050302709986,0.82728194654321,491.0607655263,489.931137816345
"PTOForest",-0.0311662541430259,-2.53935016444177,0.613620027015402,492.620790246478,490.628488721783
"XBoosting",NA,NA,NA,NA,NA
"XRF",0.0327263496963388,-2.27450529787142,0.770072377155902,490.323035376229,488.814705200104
"XBART",-0.0288660594807029,-2.12899932749499,0.466104884628257,492.246287913551,489.910871219189
"RBoosting",0.016648861942547,-3.77556081423777,4.15702918845374,492.271116743042,490.191760048337
"RLasso",0.0123785349172268,-1.77678306644882,2.67796305678371,491.368640057966,489.946649758554
"RSlearner",0.00638494872440412,-2.16364520540578,1.87207383597913,491.415031888666,490.034509039826
"stack",NA,NA,NA,NA,NA
