"","b","c","alpha","mse","mse_debiased"
"CF",0.0290445750266486,0.71193382486129,0,57.5086968508984,56.37457000013
"CBoost",0.0290445750266486,0.71193382486129,0,56.5268707221578,56.37457000013
"CMARS",0.00550725173579118,1.17326974235408,0.574778152492104,56.895831582866,56.2622367982939
"PTOForest",0.0290445750266486,0.71193382486129,0,57.5900983665499,56.37457000013
"XBoosting",NA,NA,NA,NA,NA
"XRF",0.0189917089927309,0.999817397956364,0.247865245397317,57.3381452892596,56.3633504444023
"XBART",0.0290445750266486,0.71193382486129,0,59.016091858816,56.37457000013
"RBoosting",0.00542121651672889,-2.75449100934416,7.62724379786989,56.370299921102,56.2878384562909
"RLasso",NA,NA,NA,NA,NA
"RSlearner",NA,NA,NA,NA,NA
"stack",-0.00196377528818146,1.3085070190321,0.464891658499863,57.3936883239918,56.2886388125343
