"","b","c","alpha","mse","mse_debiased"
"CF",-0.522608880282591,0.732402781582401,0,50.8408483171396,50.2793917684249
"CBoost",-0.522608880282591,0.732402781582393,-7.105427357601e-15,50.4219312558575,50.2793917684249
"CMARS",-0.633947427834499,0.56668933365816,0.55072313136142,50.4811203045333,50.1756938989266
"PTOForest",NA,NA,NA,NA,NA
"XBoosting",NA,NA,NA,NA,NA
"XRF",-0.522608880282591,0.732402781582393,0,51.8479280574221,50.2793917684249
"XBART",-0.527701290153796,0.855424385954508,0.0683929062859374,52.9452593668679,50.2789215647337
"RBoosting",-0.522608880282591,0.732402781582393,0,50.6733406462061,50.2793917684249
"RLasso",-0.915955226554232,0.215146879649568,0.863108036999731,50.2985536717799,50.1668963627139
"RSlearner",NA,NA,NA,NA,NA
"stack",-0.990578161840734,-1.87311169796601e-15,0.999999999999997,50.1464657224981,50.1464657224981
