"","b","c","alpha","mse","mse_debiased"
"CF",-1.39026463523086,-0.0674152616692294,0,593.904735313691,593.7570682229
"CBoost",-1.40424174382324,0.223724470084322,1363.91166692049,593.759707607146,593.519434952798
"CMARS",-1.38524505843066,0.0631924469044572,0.202289979676111,594.313786064328,593.704823952254
"PTOForest",-1.38075221122828,1.44967987883483,0.78209418316648,594.31197318418,593.475129728174
"XBoosting",NA,NA,NA,NA,NA
"XRF",-1.32520728863109,0.440030743943075,0.773993298875021,591.756517739744,591.563566610021
"XBART",-1.35835879179039,0.247883198996596,0.468407324641743,593.993787349943,592.468149177683
"RBoosting",-1.39026463523086,-0.0674152616692298,0,593.892576420174,593.7570682229
"RLasso",-1.39026463523086,-0.0224896572266842,0.050531914893617,593.902764130232,593.7570682229
"RSlearner",NA,NA,NA,NA,NA
"stack",-1.32372548773467,-2.53321066433458e-15,0.999999999999997,591.334390085432,591.334390085432
