"","b","c","alpha","mse","mse_debiased"
"CF",-0.248927373200555,15.0227973068053,8.99619124062046,935.303745875103,934.338841063932
"CBoost",-0.250687783711109,-0.475865880763461,438.75194185657,936.035287151968,933.947644645465
"CMARS",-0.262430720890006,-1.46488464749174,0,938.797709216296,935.514369720926
"PTOForest",-0.262430720890006,-1.46488464749174,0,937.31280333903,935.514369720926
"XBoosting",NA,NA,NA,NA,NA
"XRF",-0.13960239349236,-0.850684270359968,0.521910701434174,935.234412881351,934.020241405567
"XBART",-0.262430720890006,-1.46488464749174,0,945.708706402483,935.514369720926
"RBoosting",-0.262430720890006,-1.46488464749174,0,936.474372673781,935.514369720926
"RLasso",-0.244312487344888,-0.769020949839462,0.338938551789413,936.29658150279,935.24885963698
"RSlearner",NA,NA,NA,NA,NA
"stack",-0.161939171005008,2.70196209954908e-14,1.00000000000001,932.972578095893,932.972578095893
