"","b","c","alpha","mse","mse_debiased"
"CF",1.01040658790056,1.7091302352644,0,257390731.34326,786.587023760865
"CBoost",0.988612827825412,1.87774781941707,816.08665814452,787.290674522876,786.304393991325
"CMARS",1.01040658790056,1.7091302352644,0,792.768332693121,786.587023760865
"PTOForest",NA,NA,NA,NA,NA
"XBoosting",NA,NA,NA,NA,NA
"XRF",1.01040658790056,1.7091302352644,0,806.816891407122,786.587023760865
"XBART",1.01143003217694,1.73743628184418,0.0363820548477663,797.024967351523,786.57642661084
"RBoosting",0.704070637598057,1.95274004065881,0.4099244017426,789.13370713165,784.027338091744
"RLasso",1.01040658790056,1.7091302352644,0,790.671621507401,786.587023760865
"RSlearner",1.01040658790056,1.7091302352644,0,788.965273081223,786.587023760865
"stack",0.703706708367918,-4.04014964572844e-15,1,783.983366320409,783.983366320409
