"","b","c","alpha","mse","mse_debiased"
"CF",-3.5367762270774,-4.10966318332997,1.65023879596945,4002.47902404673,3999.01552597702
"CBoost",-3.44352031091346,-2.98875416752271,799.820627385691,4010.15207840254,4006.88894869934
"CMARS",-3.17503247865381,-3.06731205745582,0,4059.69489836369,4008.43330512269
"PTOForest",-3.17503247865381,-3.06731205745582,0,4155.45709788787,4008.43330512269
"XBoosting",NA,NA,NA,NA,NA
"XRF",-3.59351057472916,-4.66853558540373,0.781407395580203,4005.9333293335,3998.77874510512
"XBART",-3.17503247865381,-3.06731205745582,0,4094.78992542671,4008.43330512269
"RBoosting",-3.18783260515753,-3.03956026071909,0.0508347553375742,4013.74039866575,4008.50723783281
"RLasso",-3.41148106271222,-3.5600684162994,0.806938054141576,4009.50103868523,4006.34232964716
"RSlearner",-3.37085836521652,-3.92348547118392,0.601717478859517,4012.9066173047,4006.64013233286
"stack",-3.69556463903222,-1.25944104053101e-14,0.999999999999997,3996.75397543951,3996.75397543951
