"","b","c","alpha","mse","mse_debiased"
"CF",0.228246504373425,-4.57502674605872,4.08084590613381,1300.58142068851,1288.1502621025
"CBoost",0.31455315672941,0.2681202199525,4697.83938210044,1309.86140682836,1298.83793207884
"CMARS",-0.12834729385891,-0.855998561984847,0.871206522736571,1299.07644538848,1298.53713159962
"PTOForest",0.115494293442653,0.598938278535532,2.77555756156289e-17,1374.77635996635,1309.77791454786
"XBoosting",NA,NA,NA,NA,NA
"XRF",0.174916567929206,-0.18012192608239,0.593113846759722,1308.46062888394,1306.99675993963
"XBART",0.226111117188625,0.306475977708342,0.460027910757423,1311.11846904144,1306.56875870431
"RBoosting",0.044081210422322,-40.0048688305575,82.0184396418474,1309.72926723769,1307.66678979347
"RLasso",NA,NA,NA,NA,NA
"RSlearner",NA,NA,NA,NA,NA
"stack",0.134137246196207,-6.16918992341004e-15,0.999999999999999,1284.08774949138,1284.08774949138
