"","b","c","alpha","mse","mse_debiased"
"CF",0.0651086155634222,0.13980195380741,1.05470997309433,0.76842032850358,0.763766099249764
"CBoost",0.0663514391043701,0.0298904241894392,74.3522888122488,0.763878874922783,0.762121260658526
"CMARS",0.0633430444474979,0.0342460467495557,0.202525179824218,0.779117794097914,0.762534963511451
"PTOForest",0.0667254559306382,0.110736788878891,0.940962983637317,0.764366548018955,0.760791135790818
"XBoosting",NA,NA,NA,NA,NA
"XRF",0.0648366210683967,0.20538670870298,2.0340970423372,0.762578269348413,0.757709454415209
"XBART",0.0651882866367699,0.021588700356766,0,0.774831056733352,0.763777073067225
"RBoosting",0.0638449571614456,-0.0139827918474296,0.436992754374607,0.764631154866005,0.762950946876961
"RLasso",NA,NA,NA,NA,NA
"RSlearner",NA,NA,NA,NA,NA
"stack",0.0656908190246109,6.25648978081679e-16,0.999999999999999,0.756266057647928,0.756266057647928
