"trial","best_tau_method","mse","outcome_type"
"NCT00113763","CBoost",35.8177598750889,"OS"
"NCT00113763","PTOForest",8.71016983957988,"PFS"
"NCT00113763","stack",0.138532474100077,"RSP"
"NCT00460265","stack",2179.58809434637,"OS"
"NCT00460265","stack",57.7904867154232,"PFS"
"NCT00460265","stack",3404.8736867703,"ORR"
"NCT00364013","stack",3777.75404096899,"OS"
"NCT00364013","CBoost",1587.02398423268,"PFS"
"NCT00364013","CBoost",0.7868210985761,"RSP"
"NCT00115765","stack",292.150414161988,"OS"
"NCT00115765","stack",109.215535165605,"PFS"
"NCT00115765","stack",23.3351271335349,"TF"
"NCT00115765","stack",1.78427945284034,"ORR"
"NCT00339183","stack",96.1249261802884,"OS"
"NCT00339183","stack",36.9705249177855,"PFS"
"NCT00339183","stack",1.01372506548347,"ORR"
