"","b","c","alpha","mse","mse_debiased"
"CF",0.362059464378183,-1.39443015775301,2.06475457357313,7.77365962451837,7.72152213948792
"CBoost",0.443064851159659,-0.500320017633783,2966.63297702103,8.46367214658036,7.29188431623445
"CMARS",0.365310786581575,1.50724804637487,-2.77555756156289e-17,10.3453944193233,7.90863714664076
"PTOForest",0.264577372635667,-2.58106940468238,3.06847282648222,7.64428291618299,7.39093986806811
"XBoosting",NA,NA,NA,NA,NA
"XRF",0.341989502792548,-4.16645701993522,4.05260747709091,7.66950922796776,7.34433479672309
"XBART",0.281262564050287,-0.0584502957242417,0.926889671014472,7.41421188779975,7.40574394422427
"RBoosting",0.389787757352863,0.346523305633975,0.737105639878708,7.24020634794786,7.22842628493076
"RLasso",0.356625098794441,-5.18340457295722,4.65369036166699,7.72569534122333,7.42727510883713
"RSlearner",0.377613373516036,-4.23938210837828,4.18923641905599,7.6843790758377,7.37091957248135
"stack",NA,NA,NA,NA,NA
