"","b","c","alpha","mse","mse_debiased"
"CF",0.945119712189179,-2.11530352037722,6.93889390390723e-18,124.867757103397,123.629886339833
"CBoost",0.945119712189179,-2.11530352037722,0,124.631199724881,123.629886339833
"CMARS",0.944880173240351,-2.11499241672848,0.0325963101997371,126.040296613566,123.627804570614
"PTOForest",0.929804781516097,-2.11176427258881,0.0158420322720096,126.70382087181,123.600376450299
"XBoosting",NA,NA,NA,NA,NA
"XRF",0.945119712189179,-2.11530352037722,0,125.704460477216,123.629886339833
"XBART",0.945119712189179,-2.11530352037722,0,128.932572554121,123.629886339833
"RBoosting",1.02684100347555,-5.46997673692055,6.47917606008761,125.151446145367,123.49055996301
"RLasso",NA,NA,NA,NA,NA
"RSlearner",0.945119712189179,-2.11530352037722,0,124.776565094668,123.629886339833
"stack",1.00856387815997,-3.87164400162959e-14,0.999999999999981,123.451599422943,123.451599422943
