"","b","c","alpha","mse","mse_debiased"
"CF",0.379466112490756,0.606289731200279,3.00876868323702,2.45738287693637,2.40672827105097
"CBoost",0.386697116282983,0.368666859995563,6867.39775009434,2.44266340055548,2.39505391817264
"CMARS",0.389333467773354,0.252996292654083,0.0140796553708985,2.49323288888127,2.42099757908359
"PTOForest",0.342890657231957,0.339178819120317,0.835082253410593,2.38896623012845,2.35508023574266
"XBoosting",NA,NA,NA,NA,NA
"XRF",0.389322617233367,0.251706123046864,0,2.48000090811967,2.42099610501386
"XBART",0.37753301454582,0.309753562583493,0.37264167465859,2.45443207908454,2.40820205913052
"RBoosting",0.384853519237668,0.265561704846074,0.232794954888622,2.44707096050219,2.41656448655572
"RLasso",NA,NA,NA,NA,NA
"RSlearner",NA,NA,NA,NA,NA
"stack",0.338470332511019,-6.52138617295765e-16,1,2.32834452752076,2.32834452752076
