"","b","c","alpha","mse","mse_debiased"
"CF",0.608351773967347,2.51606627498815,0,111.54701592177,110.409278752216
"CBoost",0.608351773967347,2.51606627498815,2.8421709430404e-14,111.992239209348,110.409278752216
"CMARS",0.621367800174853,2.37355112596915,0.103904584531614,114.610690535887,110.374780602147
"PTOForest",0.608351773967347,2.51606627498815,-5.55111512312578e-17,112.143302549253,110.409278752216
"XBoosting",NA,NA,NA,NA,NA
"XRF",0.608351773967347,2.51606627498815,0,111.813886375215,110.409278752216
"XBART",0.608351773967347,2.51606627498815,0,115.203051588475,110.409278752216
"RBoosting",0.608351773967347,2.51606627498815,0,111.790125589657,110.409278752216
"RLasso",0.608351773967347,2.51606627498815,0,111.687631448169,110.409278752216
"RSlearner",0.608351773967347,2.51606627498815,0,111.933324290023,110.409278752216
"stack",0.621367800174853,8.18667347019393e-14,0.999999999999971,110.374780602147,110.374780602147
