"","b","c","alpha","mse","mse_debiased"
"CF",-1.87582228572551,4.50490619502545,0,3830.66782773696,3811.50883893097
"CBoost",-1.87582228572551,4.50490619502545,0,3816.11316792806,3811.50883893097
"CMARS",-1.87582228572551,4.50490619502545,0,3909.80478370072,3811.50883893097
"PTOForest",-1.87582228572551,4.50490619502545,0,3866.71321013458,3811.50883893097
"XBoosting",NA,NA,NA,NA,NA
"XRF",-2.10916122310467,2.95745906828186,0.920369311672212,3807.10949387828,3805.31289507454
"XBART",-1.87582228572551,4.50490619502545,0,3925.45735517767,3811.50883893097
"RBoosting",-1.87582228572551,4.50490619502545,0,3837.66779287404,3811.50883893097
"RLasso",NA,NA,NA,NA,NA
"RSlearner",NA,NA,NA,NA,NA
"stack",-2.10916122310467,5.59461900610526e-15,0.999999999999999,3805.31289507454,3805.31289507454
