"","b","c","alpha","mse","mse_debiased"
"CF",-0.138403286861408,-0.145809802777016,0,0.913441657815393,0.905250492834604
"CBoost",-0.138403286861408,-0.145809802777016,0,0.909670819934633,0.905250492834603
"CMARS",-0.138403286861408,-0.145809802777016,0,0.956199196886383,0.905250492834604
"PTOForest",-0.138403286861408,-0.145809802777016,-5.55111512312578e-17,0.91622787987738,0.905250492834604
"XBoosting",NA,NA,NA,NA,NA
"XRF",-0.138403286861408,-0.145809802777016,0,0.913733050072122,0.905250492834603
"XBART",-0.138403286861408,-0.145809802777016,0,0.926170492503197,0.905250492834604
"RBoosting",-0.138403286861408,-0.145809802777016,0,0.940553682580716,0.905250492834604
"RLasso",-0.138403286861408,-0.145809802777016,0,0.915712355674231,0.905250492834604
"RSlearner",NA,NA,NA,NA,NA
"stack",NA,NA,NA,NA,NA
