"","b","c","alpha","mse","mse_debiased"
"CF",-0.351534163035334,0.0252035027660835,-1.11022302462516e-16,226.287833941998,221.479970592606
"CBoost",-0.486416017290899,-0.224951130420607,1781.95751158982,221.478287265224,219.301226187331
"CMARS",-0.351534163035334,0.0252035027660834,0,233.417999071051,221.479970592606
"PTOForest",-0.366555466709183,-0.00750848051806883,0.146413992259506,222.620101345174,221.458789057467
"XBoosting",NA,NA,NA,NA,NA
"XRF",-0.351534163035334,0.0252035027660834,0,226.525921183169,221.479970592606
"XBART",-0.351534163035334,0.0252035027660834,0,230.9661335078,221.479970592606
"RBoosting",-0.351534163035334,0.0252035027660834,0,223.315798550772,221.479970592606
"RLasso",-0.351534163035334,0.0252035027660834,0,225.045484761914,221.479970592606
"RSlearner",-0.351534163035334,0.025203502766084,0,228.745468880371,221.479970592606
"stack",-0.486416017290899,3.41818299626413e-17,1,219.301226187331,219.301226187331
