"","b","c","alpha","mse","mse_debiased"
"CF",0.366293027277744,0.276545333805443,0,70.3478615077101,70.2836448556584
"CBoost",0.356491144215858,0.00119345826472987,11375.6397960839,70.3151855811559,70.0445805086922
"CMARS",0.366293027277743,0.276545333805444,0,71.6929378474078,70.2836448556584
"PTOForest",0.366293027277744,0.276545333805444,0,72.9836373090973,70.2836448556584
"XBoosting",NA,NA,NA,NA,NA
"XRF",0.364372917192578,0.171465483818933,0.206403711521861,70.4540669226082,70.2696287262075
"XBART",0.366293027277743,0.276545333805444,0,74.1517523771561,70.2836448556584
"RBoosting",0.388720240807054,-0.683427453072673,1.90283764882335,70.075987652984,70.0181934299115
"RLasso",NA,NA,NA,NA,NA
"RSlearner",NA,NA,NA,NA,NA
"stack",0.377668993832049,5.29842525636547e-15,0.999999999999998,69.8494863064895,69.8494863064895
