"","b","c","alpha","mse","mse_debiased"
"CF",-0.0738237397354431,-0.103608723765221,1.23815582063331,0.170586413337587,0.169133455340507
"CBoost",-0.0764893481311387,0.0281923714759535,0,0.170473406668413,0.170208319063583
"CMARS",-0.0747852827737908,0.0136642753079453,0.154942756821486,0.172679367497912,0.169843052189468
"PTOForest",-0.0764893481311387,0.0281923714759535,0,0.173605865636375,0.170208319063583
"XBoosting",NA,NA,NA,NA,NA
"XRF",-0.0764893481311387,0.0281923714759535,0,0.172443207994271,0.170208319063583
"XBART",-0.0716938044702151,-0.0671808695966155,0.965126373457725,0.168008549169281,0.166938402620194
"RBoosting",-0.0749624823830428,-0.02192619375759,0.371965068595575,0.172961494205935,0.169564549462748
"RLasso",NA,NA,NA,NA,NA
"RSlearner",-0.0740638700070364,-0.00166448299358223,0.357481251906706,0.170686804456859,0.169473827620487
"stack",-0.0716938044702151,6.23482413951604e-16,0.999999999999997,0.166938402620194,0.166938402620194
