"term","estimate","std.error","statistic","p.value"
"(Intercept)",-4.41198769369247,4.48071405818853,-0.984661738373941,0.325486331764816
"SXANY",0.170946955700944,0.609787867728907,0.280338400856709,0.77938738730884
"DIAGMONS",-0.0137131900312215,0.00547728069044515,-2.50364931180969,0.0127573719807568
"AGE",0.0177218386389721,0.00919966652344206,1.92635663410345,0.054888336418177
"SEX",0.061830444818481,0.231721617002382,0.266830715314081,0.789760320683024
"B_WEIGHT",0.0160456525799462,0.00723703699061031,2.21715774021393,0.0272694078716993
"RACE",-0.0341961647626231,0.454226986521836,-0.0752843088969113,0.940032522921872
"B_ECOG",0.236282678002259,0.0673489321559825,3.50833592216458,0.000511163078787389
"HISSUBTY",0.285572032061405,0.292691095150445,0.975677213256589,0.329914056941169
"DIAGTYPE",-0.132651964395988,0.20044438198535,-0.661789385574714,0.508551853214311
"Albumin",0.0299829540531901,0.0262884824736286,1.14053574919235,0.254861229871585
"Alkaline_Phosphatase",-9.99102491469179e-06,0.000413032359654307,-0.0241894483111539,0.980715602114196
"Creatinine",0.00188515040045576,0.00485911224736208,0.387961896019004,0.698285595306284
"Hemoglobin",-0.00549738059172889,0.00757154583252588,-0.726057890069583,0.468299864058852
"Lactate_Dehydrogenase",-0.000157200845215222,0.000198406332468571,-0.792317680889159,0.428724704850739
"Platelets",0.00327531984418822,0.0010135856417044,3.23141894421531,0.00135149178599539
"White_Blood_Cells",0.0478048709870293,0.0324732773387995,1.47212954480303,0.141905513159708
"`KRAS_exon_2_(c12/13)`",0.181915456509419,0.199690962076555,0.91098492699774,0.362944946167738
"`KRAS_exon_3_(c61)`",-0.688481494339523,0.617840207389024,-1.11433585271025,0.265917620111658
"`KRAS_exon_4_(c117/146)`",0.386022236143921,0.518058017730139,0.745133214683695,0.456702947170041
"`NRAS_exon_2_(c12/13)`",1.52862127040497,0.651802095470824,2.34522300714725,0.0195867887280925
"`NRAS_exon_3_(c61)`",-0.278283274421501,0.870993351049087,-0.319501031880802,0.749541683608795
"`NRAS_exon_4_(c117/146)`",-1.64406730071435,0.866139220788021,-1.89815593296718,0.0585172645588083
"`BRAF_exon_15_(c600)`",0.111146383666221,0.486062904060407,0.228666665852797,0.819264674715702
"non_target_count",0.0381306768806937,0.0366698820804299,1.03983636481459,0.299150490715391
"target_count",0.0523284044845497,0.0485955367640309,1.07681503218381,0.282321894323499
"target_LSSLD",-0.00190767909091853,0.00190340973645292,-1.00224300337644,0.316934825471613
"target_LSLD",0.00682853270735118,0.00360567051113777,1.89383158728955,0.0590910480370574
