"term","estimate","std.error","statistic","p.value"
"(Intercept)",-1.98851482162061,2.97939221214714,-0.667422977583593,0.504952080780863
"SXANY",0.224860020520072,0.40547046755932,0.554565716890775,0.579554215138501
"DIAGMONS",-0.00493159385785773,0.00364204616070807,-1.35407230997285,0.176607349664643
"AGE",-0.00229922874323699,0.00611719793728038,-0.375863061292274,0.707251736235359
"SEX",-0.171736078163699,0.154080258663538,-1.11458845963334,0.265809460100606
"B_WEIGHT",0.00854513327527478,0.00481217309759826,1.7757327307157,0.0766661245238249
"RACE",-0.204082192752324,0.302032294097639,-0.675696595167237,0.499689922258656
"B_ECOG",-0.0259678172844832,0.0447827916167191,-0.579861512581285,0.562389812320611
"HISSUBTY",0.327728906340344,0.194621115771133,1.68393293318563,0.0931070502664078
"DIAGTYPE",0.07133747416965,0.13328287029707,0.535233627627077,0.592836162505039
"Albumin",-0.000879057408042608,0.0174801826079392,-0.0502888000519717,0.959921605858453
"Alkaline_Phosphatase",1.0441741036671e-05,0.000274640465724408,0.0380196742280103,0.96969417839866
"Creatinine",-0.00918777950277675,0.00323100313917204,-2.84363063328102,0.00472847325330022
"Hemoglobin",-0.00554140770645071,0.00503460037716909,-1.10066485744924,0.271816629960706
"Lactate_Dehydrogenase",0.000244304891953848,0.000131927695925439,1.85180897945735,0.06491494936658
"Platelets",-0.000522387655619233,0.00067397051631077,-0.775089774666579,0.438822185748133
"White_Blood_Cells",-0.0227856661384396,0.0215926810659344,-1.05524951111269,0.292056110170382
"`KRAS_exon_2_(c12/13)`",0.607165092223739,0.13278189358229,4.57264974796777,6.74098296439832e-06
"`KRAS_exon_3_(c61)`",-0.418093746516595,0.410824765504102,-1.01769362906731,0.309542965267975
"`KRAS_exon_4_(c117/146)`",-0.532449203822674,0.34447590348793,-1.54567909810658,0.123106891745826
"`NRAS_exon_2_(c12/13)`",2.15856161974547,0.433407278814857,4.9804461652052,1.00852222143634e-06
"`NRAS_exon_3_(c61)`",0.298572135830819,0.579155637527274,0.515530051827836,0.606515757795587
"`NRAS_exon_4_(c117/146)`",0.533208610395022,0.575927947094732,0.925825206234204,0.355189657896541
"`BRAF_exon_15_(c600)`",-0.106523721713497,0.323201171100098,-0.329589528871186,0.741911903399712
"non_target_count",-0.0605038411680853,0.0243831585037489,-2.48137833163751,0.0135674944202897
"target_count",0.00155205466526135,0.0323129666163964,0.0480319459270509,0.96171881935019
"target_LSSLD",-0.000472973985139433,0.00126564741058383,-0.373701222934794,0.708858166865414
"target_LSLD",-0.00195716335162278,0.00239754344975889,-0.816320284756302,0.414885192406434
