"term","estimate","std.error","statistic","p.value"
"(Intercept)",-0.889156419464979,0.26931192204845,-3.30158580690318,0.00106286253314434
"SXANY",-0.0233082525805748,0.0366511097488534,-0.635949436191463,0.525234713839285
"DIAGMONS",0.000518082599509502,0.000329210248899257,1.5737134589271,0.116478310826156
"AGE",0.00120028435290811,0.000552943089306307,2.170719511865,0.0306398524530212
"SEX",0.0031429782459074,0.0139275555736569,0.225666178769529,0.821595858380874
"B_WEIGHT",0.00033314110335526,0.000434979852890891,0.76587708865409,0.444277692355758
"RACE",0.00771341430536183,0.027301171464605,0.282530524939635,0.777707654787923
"B_ECOG",-0.00245542494327531,0.00404798657787396,-0.606579319382261,0.544532560385129
"HISSUBTY",0.0260927384087586,0.017592107056548,1.48320711810622,0.13894031820288
"DIAGTYPE",0.0207344258382732,0.0120476471105394,1.72103528996417,0.0861488046596075
"Albumin",-0.000399811256258265,0.00158006104624586,-0.253035322406178,0.800392943654054
"Alkaline_Phosphatase",-3.36901941568266e-05,2.48251812550784e-05,-1.3570976103119,0.175645153267658
"Creatinine",0.00167879411975955,0.000292055427280557,5.74820380977496,1.99865331260533e-08
"Hemoglobin",0.000521694766629173,0.000455085402584215,1.14636673395085,0.252444870025119
"Lactate_Dehydrogenase",-2.15350711724641e-05,1.19251507794936e-05,-1.80585315612912,0.0718203898873066
"Platelets",0.000132066219871053,6.09212491096743e-05,2.16781864786289,0.0308618321503683
"White_Blood_Cells",0.00261671638498351,0.00195179621411952,1.34067089896675,0.180917152837436
"`KRAS_exon_2_(c12/13)`",0.00110449201370617,0.0120023630417253,0.0920228799834238,0.926733739298269
"`KRAS_exon_3_(c61)`",0.0413970669056729,0.0371350931146051,1.1147694386524,0.265731988087918
"`KRAS_exon_4_(c117/146)`",0.0477501751685353,0.031137715702376,1.53351567677431,0.126073365734684
"`NRAS_exon_2_(c12/13)`",0.0767902667665638,0.0391763618135057,1.96011735679067,0.0507936992196765
"`NRAS_exon_3_(c61)`",0.0656049428101851,0.0523507839188654,1.25317975967392,0.210996380124994
"`NRAS_exon_4_(c117/146)`",-0.0335164675039893,0.0520590279323185,-0.643816621923171,0.520125857376961
"`BRAF_exon_15_(c600)`",0.0166061699471536,0.0292146593665656,0.568419085048734,0.570123465192925
"non_target_count",0.00488629628755207,0.00220403183423919,2.21698081291043,0.0272816132612149
"target_count",0.00103950347613901,0.00292081959235495,0.355894447866564,0.72213903993738
"target_LSSLD",-0.000113889524856512,0.000114403849009974,-0.995504310756035,0.320194864031386
"target_LSLD",6.87725314169217e-05,0.000216717702361152,0.317336934951049,0.751181598933499
